装置	1987 1987
传动	1988 1988
蜗杆	1988 1988
滚珠	1988 1988
运输	1989 2010
材料	1999 1999
电源	1989 1989
套管	1989 1989
电子	1995 1995
螺栓	1989 1989
电器	2009 2009
恒温	1990 2008
电极	1991 1991
灯	1991 2006
阀	1997 1997
阀杆	1991 1991
水管	2001 2001
胶囊	1992 1992
管道	1992 2005
机械	1992 1992
加工	2003 2003
处理	2003 2003
电路	1997 1997
车辆	1992 2008
模板	2008 2008
炉	1993 1993
制备 方法	1996 2001
制备	2001 2004
催化剂	1993 1993
记录	1994 1994
存储	2003 2003
存储 装置	2006 2006
图象	1995 1995
墨水	1994 1994
笔	1994 2005
滚子	1994 1994
灯头	1994 2007
弹簧	1994 1994
胶膜	1994 1994
动力	1994 1994
定位	1994 1994
视频 信号	1995 1995
存储器	1995 1995
设备	1995 1995
视频	1997 1997
透镜	1998 1998
电子源	1995 1995
图像	1995 1995
膜	1995 1995
心轴	1995 1995
轴套	1995 1995
端面	1995 1995
电机	1995 1995
开关	1995 1997
洗衣机	1996 1996
电线	1996 1996
摩擦	1996 1996
控制	1996 1996
端子	1996 1996
服务器	1996 1996
消息	1996 1996
通信 系统	1996 1996
通信	1996 1996
用户 设备	2006 2006
存储 单元	2004 2004
洗涤剂 组合物	1996 1996
组合物	1996 1996
液晶	2009 2009
数据线 驱动器	1996 1996
数据线	1996 1996
显示器	2007 2007
控制 信号	1996 2003
信号 线	2001 2001
过滤器	1996 1996
传感器	1996 1996
过滤	1996 1996
控制器	1996 1996
夹钳	1996 1996
模具	1996 1996
气缸	1996 1996
液压 马达	1997 1997
纤维 光缆	1997 1997
光纤	1997 1997
缓冲 管	1997 1997
光缆	1997 1997
缓冲	1997 1997
纤维	1997 1997
汽车	1997 2005
光源	1997 1997
反射镜	1997 1997
反射	1997 1997
导尿管	1997 1997
分区	1997 1997
光学	2004 2004
磁场	1997 1997
线圈	1997 1997
引线	1997 1997
导线	1997 1997
窑	1997 1997
燃料	1997 1997
喷枪	1997 1997
凸轮	1997 1997
维修	2003 2010
杆件	1997 1997
锅炉	2005 2009
连杆 机构	2007 2007
工作台	1997 1997
刀柄	1997 1997
聚合物 制品	1998 1998
超临界 流体	1998 1998
隐形 眼镜	1998 1998
聚合物	1998 1998
流体	1998 1998
计算机	2000 2004
键盘	1998 1998
介质	1998 1998
纸	1998 1998
齿轮	1998 1998
橡胶	1998 2000
水口	1998 1998
密封圈	1998 2010
检测	1999 1999
机架	1999 2008
模块	2001 2001
检测 信号	2007 2007
信息 载体	1999 1999
载体	1999 1999
信息	1999 1999
路径 信息	1999 1999
识别 信息	2003 2003
屏幕	2004 2004
基质 材料	1999 1999
树脂	1999 1999
化合物	1999 1999
无机 化合物	1999 9999
工具	1999 1999
登记	1999 1999
细胞	1999 1999
基因	1999 1999
药物	1999 1999
蜗轮	1999 1999
轴杆	1999 1999
摩擦片	1999 1999
等离子	2000 2000
喷涂	2000 2000
冷却	2004 2004
金属 盐	2005 2005
电子 用品	2001 2001
接合体	2001 2001
磁性 材料	9999 9999
电脑	2001 2001
编码	2001 2001
字根码	2001 2001
闸刀	2001 2001
接触 闸刀	2001 2001
连接器	2001 2001
加热	2006 2006
连接件	2001 2001
药	2002 2002
蛋白酶 体 抑制剂	2002 2002
监测	2002 2005
测量	2002 2002
治疗	2002 2002
偶氮	2002 2002
染料	2002 2002
冷光片	2002 2002
电池	2002 2002
手机	2002 2002
马达	2002 2002
电子 装置	2002 2002
护套	2002 2002
数字	2003 2003
控制 系统	2003 2003
移动 通信 系统	2003 2007
基站 装置	2003 2010
载波 信号	2003 2003
浆料	2003 2003
dna	2003 2003
掩模	2003 2003
栅极	2009 2009
半导体	2006 2006
媒体	2003 2003
处理器	2003 2003
肋板	2003 2003
磁铁	2003 2003
厨房 用具	2003 2003
条材	2003 2003
滚轮	2003 2003
基板	2006 2006
金属	2005 2005
轴承	2003 2003
分级	2003 2003
主动轴	2003 2003
照明 光学 系统	2004 2004
衍射 器件	2004 2004
投影 光学 系统	2004 2004
网络	2004 2004
信道	2004 2004
mcu	2008 2008
电缆	2004 2004
动器	2004 2004
致动器	2004 2004
电子 设备	2004 2004
触摸板	2004 2004
笔记本 电脑	2004 2004
风力 涡轮	2004 2004
发电机	2004 2004
led	2004 2004
cpu	2004 2004
框架 型材	2004 2004
硅片	2004 2004
输送带	2004 2004
传输线	2005 2005
电容器	2005 2005
病毒	2005 2005
光盘	2005 2005
网络 监测 模块	2005 2005
网元 监测 模块	2005 2005
sls 监测 模块	2005 2005
接口	2008 2008
探针	2005 2005
探针 装置	2005 2005
乳酸菌	2005 2005
声 转换器	2005 2005
循环	2005 2005
金属 氧化物	2005 2005
粒状 吸水剂	2005 2005
吸水 树脂	2005 2005
吸水剂	2005 2005
密码	2005 2005
钻头	2005 2005
电压 检测	2005 2005
电机 (	2005 2005
